Portuguese,English,Frequency
que,what,9477531
não,no,7770387
de,of,6221815
você,you,4513230
eu,I,4103854
um,one,3563693
para,to,2811080
se,if,2796049
está,this,2754214
uma,one,2401855
com,with,2314658
me,me,2182820
por,put,2099013
ele,he,2013798
isso,that,1989139
em,in,1801978
do,of,1752303
bem,good,1515797
mas,but,1468594
como,as,1451186
da,from the,1328192
os,you,1275882
no,node,1234867
aqui,here,1169045
na,in,1144851
sim,Yes,1133922
ela,she,1092440
mais,more,1092159
tem,he has,1077141
meu,my,1036207
seu,your,991282
vai,go,960871
as,to the,952749
muito,very,943025
vamos,let's,940856
foi,he was,928393
estou,I am,926386
sua,your,911167
tudo,all,833880
só,only,784153
minha,my,759674
agora,now,739062
pode,he can,729911
te,you,708064
então,then,697183
vou,I go,692522
sei,I know,683294
fazer,to do,663506
quando,when,645242
ser,to be,644548
nós,us,602847
tenho,I have,602162
quer,he wants,595702
nos,us,592787
certo,right,586632
eles,they,577218
já,already,574708
sabe,he knows,568141
quem,who,544196
estava,he was,540328
nada,nothing,530975
era,it was,518910
onde,where,518531
lá,there,517914
quero,I want,514976
ao,to the,513460
ou,or,510675
sou,I am,507242
disse,he said,506215
bom,good,494666
há,there is,490737
posso,can,470952
são,they are,468376
ter,to have,461690
dizer,to say,461230
mim,me,460289
porque,why,454501
pra,for,454184
acho,I think,444495
coisa,thing,441269
mesmo,same,439234
estão,they are,420627
sobre,on,420047
todos,all,417070
até,until,394046
lo,lo,392853
cara,face,391314
nunca,never,390093
quê,what,389519
assim,like this,388507
tempo,time,386946
algo,something,384293
esse,that,381372
isto,this,369954
essa,that,368406
casa,home,368000
ver,see,365892
vocês,you,364421
favor,please,352113
temos,we have,342901
dos,of the,339419
também,also,336260
ainda,yet,334585
deus,God,330308
ir,go,329324
noite,night,326939
tão,so,325258
obrigado,thanks,324702
sem,without,318726
melhor,better,318347
dia,day,317525
esta,this,314541
estamos,we are,313367
talvez,perhaps,307130
pai,father,306743
alguém,somebody,297918
senhor,sir,297130
vida,life,287034
anos,years,283172
mãe,mother,281839
este,this,281041
sr,sir,279597
sempre,always,277019
vez,time,272322
verdade,TRUE,272060
dele,from him,269901
seus,your,269283
ficar,to stay,264790
parece,it seems,261661
aí,there,261305
preciso,necessary,260189
falar,to speak,258083
oh,oh,257410
coisas,things,255083
nem,neither,252507
homem,man,252387
depois,after,252327
claro,Of course,248751
pelo,for the,246941
antes,before,246629
fazendo,doing,246513
tinha,he had,245775
lhe,him,243110
boa,good,238975
faz,he does,238635
dois,two,238629
pessoas,people,237578
pouco,little,237499
ei,Hey,233582
deve,he must,232419
acha,he thinks,230660
qual,which,228193
todo,all,227640
la,there,226343
lugar,place,224275
fora,outside,223970
apenas,just,222394
estar,be,219530
ninguém,nobody,215599
fez,he did,215470
disso,from that,214776
trabalho,work,211523
precisa,it needs,208894
comigo,with me,208772
das,of,208183
dar,give,207942
alguma,some,207454
saber,to know,202187
novo,new,201112
mundo,world,198928
desculpe,sorry,196309
hoje,today,195659
nome,name,193871
seja,it is,191860
queria,I wanted,190013
vá,go,189350
sinto,I feel,189153
dinheiro,money,188565
podemos,we can,186045
diga,say,185952
grande,big,185854
filho,son,185232
suas,your,184524
quanto,as,181777
nossa,our,179983
deixe,leave,178228
vão,they go,177062
pela,for the,176923
outro,other,174160
qualquer,any,173485
será,it will be,173303
meus,my,169750
poderia,it could,166207
ok,OK,166182
nosso,our,165340
oi,hey,164212
hora,time,163576
outra,other,163329
dela,her,162206
certeza,certainty,158961
sair,to go out,155946
olá,hello,154329
problema,problem,152382
carro,car,152023
daqui,from here,151452
mulher,woman,151181
toda,all,151021
merda,Shit,149802
algum,some,147438
volta,return,147301
espere,Wait,147222
falando,talking,146669
sabia,you knew,145336
amigo,friend,145335
aconteceu,it happened,144522
menos,less,142316
olhe,look,140274
tipo,type,140258
faça,do,139089
venha,come,137603
diz,it says,135683
três,three,134792
ótimo,excellent,132867
obrigada,thanks,132720
vezes,times,132447
vi,vi,131918
primeiro,first,128887
atrás,back,128528
voltar,to go back,125871
sério,serious,125791
entre,between,124995
tenha,you have,124955
deveria,it should,124655
realmente,really,124323
ah,ah,124261
seria,he would be,123698
às,to the,122890
embora,although,122817
olha,look,121414
vê,see,121302
parte,part,121012
viu,it saw,120591
vem,he comes,120065
todas,all,119637
aquele,that one,119193
fique,stay,117157
los,los,116932
deixar,to leave,116577
ajudar,to help,116349
amor,love,116327
dentro,within,114943
dê,of,114601
pensei,I thought,112909
cabeça,head,112791
família,family,112465
duas,two,112430
gente,people,112153
frente,front,111983
pare,Stop,111753
querida,dear,111636
feliz,happy,110438
dias,days,110391
nas,in the,110169
indo,going,110064
lado,side,109978
fui,I went,109338
podem,they can,108381
gosto,I like,108369
homens,men,107943
mal,bad,107485
matar,to kill,106516
nenhum,none,106325
dá,from the,105568
fiz,I did,105413
precisamos,we need,104903
pegar,to take,104439
somos,we are,104094
cidade,city,103832
tarde,late,103658
fosse,were,102448
alguns,some,102131
legal,legal,101081
amigos,friends,100766
têm,he has,100448
garota,girl,100098
meio,quite,99998
deles,from them,99802
logo,logo,99776
rápido,fast,99162
amanhã,tomorrow,97874
momento,moment,97512
gostaria,I would like,97048
medo,fear,96935
caso,case,96883
num,in,96603
foram,they were,96410
importa,matters,95198
tanto,both,95111
horas,hours,94990
porta,door,94116
tentando,trying,93864
irmão,brother,93187
outros,others,92884
entrar,to enter,92744
desde,since,92715
ali,there,92266
minhas,my,92216
amo,I love,92205
jeito,way,91461
minutos,minutes,91337
cada,each,91256
morto,dead,91067
vejo,I see,90408
enquanto,while,90001
quase,almost,89854
errado,wrong,89386
pessoa,person,89361
algumas,some,89178
ajuda,help,89009
demais,too much,88956
nova,new,88181
história,history,87952
perto,close,87812
fica,he is,86991
aquela,that one,86700
tá,okay,86550
dizendo,saying,86213
semana,week,86001
garoto,boy,85808
deu,it gave,85741
encontrar,find,85380
papai,daddy,85111
pessoal,guys,85053
contra,against,84716
sorte,luck,84656
cima,top,84542
droga,drug,84354
primeira,first,84213
nisso,in that,84202
esses,those,84177
quiser,he wants,84099
morte,death,84050
essas,these,84023
idéia,idea,84013
achei,I thought,83662
morrer,to die,83224
espero,I hope,82993
caminho,path,82963
polícia,police,82877
sente,feels,82799
arma,arm,82727
manhã,morning,82527
aos,to the,82337
acabou,he finished,81981
quarto,room,81661
crianças,children,81419
ano,year,81261
levar,to take,81241
pronto,ready,80823
forma,form,80638
acredito,I believe,80566
espera,wait,80456
for,for,80280
chegar,to arrive,79865
juntos,together,79755
gosta,he likes,79296
cuidado,Careful,79268
uns,some,79228
tive,I had,79124
pensar,think,79102
numa,in a,79093
razão,reason,78335
veja,look,78038
feito,done,78029
devia,should,77969
mãos,hands,77828
teve,he had,77816
consigo,with you,77229
elas,they,76549
sido,been,76175
conta,account,76097
contar,count,75824
chefe,boss,75701
olhos,eyes,75362
filha,daughter,75218
ia,ia,75151
difícil,difficult,75123
idiota,idiot,75062
significa,it means,74028
entendo,I understand,73879
dr,Dr.,73450
deixa,he leaves,73346
vindo,coming,73250
ouvir,to hear,73207
passar,to spend,72879
acontecendo,happening,72741
sangue,blood,72685
vir,come,72636
fim,end,72544
mamãe,mommy,72013
devo,I must,71998
esposa,wife,71972
lembra,remember,71767
mesma,same,71664
veio,he came,71316
última,last,70926
problemas,problems,70913
jogo,game,70491
guerra,war,70464
água,water,70287
parar,to stop,70063
nossos,ours,70016
teria,would have,69917
importante,important,69850
mão,hand,69791
querem,they want,69291
sra,Mrs.,68705
pensando,thinking,68403
boca,mouth,68101
coração,heart,67425
tal,such,67170
única,unique,67066
escola,school,66746
exatamente,exactly,66512
corpo,body,66338
conhece,do you know,66315
podia,could,66242
poder,power,66130
tentar,to try,65915
licença,license,65839
nenhuma,none,65822
causa,cause,65763
havia,there was,65713
fala,he speaks,65461
ficou,it was left,65402
ouvi,I heard,65258
digo,I mean,65124
faço,I make,65041
longe,far away,64860
terra,Earth,64342
começar,to start,63756
saia,skirt,63736
jack,jack,63557
ontem,yesterday,63098
tivesse,had,63011
porra,damn,62961
segundo,second,62257
pois,then,62238
velho,old,62114
maior,bigger,61652
capitão,captain,61512
cinco,five,61306
matou,killed,61259
tirar,to throw,61154
querido,dear,61072
diabos,devils,61041
senhora,madam,61021
sendo,being,61010
chance,chance,60925
morreu,he died,60499
marido,husband,60495
usar,to use,60401
número,number,60002
meses,months,59978
pegue,take,59927
esperar,wait,59810
conheço,I know,59407
preocupe,worry,59347
comer,eat,58472
esperando,waiting,58366
cá,here,58327
festa,party,58273
estranho,strange,58157
mulheres,women,57928
trabalhar,to work,57911
prazer,pleasure,57795
houve,there was,57695
aquilo,that one,57596
telefone,telephone,57330
sabemos,we know,57199
consegue,it achieves,57100
muita,many,57072
deixou,he left,56969
irá,Iran,56791
pergunta,question,56745
filhos,children,56698
john,John,56669
segurança,security,56522
tomar,take,56458
fácil,easy,56445
conseguir,achieve,56441
esteja,be,56440
dormir,sleep,56402
bastante,quite,56279
desse,of that,56192
quatro,four,56161
dessa,of this,55981
possa,may,55954
mil,thousand,55764
pais,country,55671
calma,calm,55324
muitos,many,55136
